HealthContition,FitnessGoal,Supplement,Recommendation
1,2,Bulking,Protein Powder
1,2,Bulking,BCAAs
1,2,Bulking,Creatine
2,1,Maintenance,Multi-Vitamins
2,1,Maintenance,Fish Oil
2,1,Maintenance,Probiotics
1,3,Weight Loss,Green Tea Extract
1,3,Weight Loss,Caffeine
1,3,Weight Loss,Psyllium (Fiber Supplement)
4,1,Maintenance,Fish Oil
4,1,Maintenance,Probiotics
4,1,Maintenance,Multi-Vitamins
5,2,Bulking,BCAAs
5,2,Bulking,Fish Oil
5,2,Bulking,Glutamine
3,2,Bulking,Digestive Enzyme
3,2,Bulking,Casein Protein
3,2,Bulking,Pre-Workout
3,3,Weight Loss,Caffeine
3,3,Weight Loss,Green Tea Extract
3,3,Weight Loss,CLA
